YEAR,MO,DY,Distribuidora,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,Distribuidora
2025,3,19,Santa Marta,26.11,21.66,23.88,26.73,5.2,29.14,23.94,16.61,76.78,0.72,Santa Marta
2025,3,20,Santa Marta,26.41,23.07,24.74,26.84,4.66,29.33,24.67,18.15,82.15,5.3,Santa Marta
2025,3,21,Santa Marta,26.99,23.54,25.27,27.3,5.21,30.21,25.0,18.68,81.94,2.06,Santa Marta
2025,3,22,Santa Marta,27.22,22.92,25.07,27.29,4.98,29.86,24.88,17.97,77.62,1.46,Santa Marta
2025,3,23,Santa Marta,27.79,21.84,24.81,27.73,7.35,31.67,24.32,16.81,70.75,0.57,Santa Marta
2025,3,24,Santa Marta,28.03,21.64,24.84,28.11,7.29,32.01,24.72,16.6,68.58,0.02,Santa Marta
2025,3,25,Santa Marta,27.81,22.17,24.99,27.85,6.4,31.6,25.2,17.15,71.97,3.41,Santa Marta
2025,3,26,Santa Marta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Santa Marta
2025,3,27,Santa Marta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Santa Marta
2025,3,28,Santa Marta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Santa Marta
2025,3,29,Santa Marta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Santa Marta
2025,3,30,Santa Marta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Santa Marta
2025,3,31,Santa Marta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Santa Marta
2025,3,1,Corozal,30.2,22.11,26.16,31.59,11.29,36.48,25.19,16.74,64.75,2.03,Corozal
2025,3,2,Corozal,29.75,22.31,26.03,30.99,10.41,35.93,25.52,16.91,66.73,3.9,Corozal
2025,3,3,Corozal,29.41,22.09,25.75,30.58,9.71,34.62,24.91,16.69,67.0,2.43,Corozal
2025,3,4,Corozal,29.77,21.81,25.79,31.18,11.16,35.97,24.81,16.4,64.74,2.27,Corozal
2025,3,5,Corozal,29.33,22.07,25.7,30.62,10.01,35.04,25.03,16.64,66.85,2.67,Corozal
2025,3,6,Corozal,29.25,22.16,25.7,30.57,10.46,35.24,24.78,16.74,68.05,6.74,Corozal
2025,3,7,Corozal,29.24,22.2,25.72,30.59,11.03,35.49,24.46,16.75,68.31,3.44,Corozal
2025,3,8,Corozal,30.47,21.57,26.02,31.63,11.93,36.9,24.97,16.15,62.02,1.42,Corozal
2025,3,9,Corozal,30.85,21.78,26.32,32.22,11.18,37.07,25.89,16.37,61.13,2.05,Corozal
2025,3,10,Corozal,30.7,21.62,26.16,32.25,11.74,37.2,25.46,16.24,61.55,0.25,Corozal
2025,3,11,Corozal,30.05,21.65,25.85,31.64,11.09,36.14,25.05,16.22,63.26,0.96,Corozal
2025,3,12,Corozal,29.98,21.45,25.71,31.48,10.93,36.04,25.11,16.0,62.56,0.61,Corozal
2025,3,13,Corozal,30.52,21.31,25.92,32.06,12.09,37.11,25.02,15.89,60.63,0.99,Corozal
2025,3,14,Corozal,30.37,21.53,25.95,31.97,11.68,37.14,25.46,16.13,61.96,1.4,Corozal
2025,3,15,Corozal,30.18,21.38,25.78,31.73,11.16,36.13,24.97,15.99,62.16,2.01,Corozal
2025,3,16,Corozal,29.75,22.49,26.12,30.86,8.57,34.4,25.83,17.04,66.6,3.21,Corozal
2025,3,17,Corozal,29.85,23.53,26.69,31.0,9.7,35.62,25.92,18.19,71.19,8.94,Corozal
2025,3,18,Corozal,28.64,23.35,25.99,29.42,8.23,33.39,25.16,17.98,74.6,7.47,Corozal
2025,3,19,Corozal,29.43,22.16,25.79,30.55,9.74,34.65,24.91,16.72,66.72,1.17,Corozal
2025,3,20,Corozal,30.3,22.37,26.34,31.54,11.44,36.66,25.22,16.97,64.81,5.85,Corozal
2025,3,21,Corozal,30.38,23.58,26.98,31.31,10.71,36.84,26.13,18.33,70.04,8.34,Corozal
2025,3,22,Corozal,31.1,22.89,27.0,31.76,11.22,37.09,25.87,17.61,64.94,1.99,Corozal
2025,3,23,Corozal,31.8,22.28,27.04,32.42,11.45,37.75,26.3,16.94,59.91,1.12,Corozal
2025,3,24,Corozal,32.18,21.5,26.84,32.77,11.26,38.04,26.78,16.12,55.49,0.06,Corozal
